ID	Description	geneID	status	celltype	Tissue	Dataset	Dataset name for plot
GO:1905952	regulation of lipid localization	APOC1/MSR1/APOE/PPARG/TSPO/RETN/ABCG1/DAB2/ABHD5/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0010885	regulation of cholesterol storage	MSR1/PPARG/ABCG1/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0030301	cholesterol transport	APOC1/MSR1/APOE/PPARG/TSPO/ABCG1/VAPA/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0019915	lipid storage	MSR1/APOE/PPARG/HEXB/ABCG1/ABHD5/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0006869	lipid transport	APOC1/FABP4/MSR1/APOE/PPARG/TSPO/INHBA/RETN/ABCG1/DAB2/SLCO2B1/VAPA/TREM2/APOBR/VMP1	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:1905953	negative regulation of lipid localization	APOC1/PPARG/TSPO/ABCG1/ABHD5/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0010888	negative regulation of lipid storage	PPARG/ABCG1/ABHD5/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0010878	cholesterol storage	MSR1/PPARG/ABCG1/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:1905954	positive regulation of lipid localization	MSR1/APOE/PPARG/RETN/ABCG1/DAB2/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0010875	positive regulation of cholesterol efflux	APOE/PPARG/ABCG1/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0032374	regulation of cholesterol transport	APOC1/APOE/PPARG/TSPO/ABCG1/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0032368	regulation of lipid transport	APOC1/APOE/PPARG/TSPO/RETN/ABCG1/DAB2/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0010887	negative regulation of cholesterol storage	PPARG/ABCG1/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0010883	regulation of lipid storage	MSR1/PPARG/ABCG1/ABHD5/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0032370	positive regulation of lipid transport	APOE/PPARG/RETN/ABCG1/DAB2/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0033700	phospholipid efflux	APOC1/APOE/ABCG1	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0055088	lipid homeostasis	FABP4/APOE/PPARG/TSPO/ABCG1/ABHD5/RTN4/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0010889	regulation of sequestering of triglyceride	PPARG/ABHD5/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0032376	positive regulation of cholesterol transport	APOE/PPARG/ABCG1/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0050872	white fat cell differentiation	FABP4/PPARG/FFAR4	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0006641	triglyceride metabolic process	APOC1/APOE/SEL1L/ABHD5/CAT/APOBR	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0030730	sequestering of triglyceride	PPARG/ABHD5/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0033344	cholesterol efflux	APOC1/APOE/PPARG/ABCG1/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0140353	lipid export from cell	TSPO/INHBA/RETN/DAB2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0016042	lipid catabolic process	APOC1/APOE/GPCPD1/NCEH1/PNPLA6/PLBD1/HSD17B11/HEXB/ABHD5/ACER3	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0009395	phospholipid catabolic process	APOC1/GPCPD1/PNPLA6/PLBD1	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0010874	regulation of cholesterol efflux	APOE/PPARG/ABCG1/TREM2	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0006638	neutral lipid metabolic process	APOC1/APOE/SEL1L/ABHD5/CAT/APOBR	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0015914	phospholipid transport	APOC1/APOE/ABCG1/VAPA/VMP1	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0046503	glycerolipid catabolic process	APOC1/GPCPD1/PNPLA6/ABHD5	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0034368	protein-lipid complex remodeling	APOC1/APOE/ABCG1	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0046475	glycerophospholipid catabolic process	APOC1/GPCPD1/PNPLA6	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
GO:0090336	positive regulation of brown fat cell differentiation	PIM1	Up	C4_CD4 memory_IL7R	Blood	GSE150728	Wilk et al., 2020
GO:0043691	reverse cholesterol transport	CLU/CES1	Up	C1_CD14 Monocytes_VCAN	Blood	GSE150728	Wilk et al., 2020
GO:0050873	brown fat cell differentiation	PLAC8/PIM1	Up	C1_CD14 Monocytes_VCAN	Blood	GSE150728	Wilk et al., 2020
GO:0006869	lipid transport	ACSL1/UGCG/RETN/ANXA1/PLSCR1/CLU	Up	C10_Neutrophil_FCGR3B	Blood	GSE150728	Wilk et al., 2020
GO:0045444	fat cell differentiation	PLAC8/RETN/MAFB	Up	C10_cMo_CD14	Blood	GSE155673	Arunachalam et al., 2020
GO:0070723	response to cholesterol	CCL3	Down	C10_cMo_CD14	Blood	GSE155673	Arunachalam et al., 2020
GO:0043691	reverse cholesterol transport	CLU/CES1	Up	C13_cMo_IFN	Blood	GSE155673	Arunachalam et al., 2020
GO:0032370	positive regulation of lipid transport	RETN/ACSL1/CES1	Up	C13_cMo_IFN	Blood	GSE155673	Arunachalam et al., 2020
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	PTGS2/IL1B	Down	C4_Granulocytes_CD177	Blood	GSE157344_Blood	Bost et al., 2021
GO:0045723	positive regulation of fatty acid biosynthetic process	PTGS2/IL1B	Down	C4_Granulocytes_CD177	Blood	GSE157344_Blood	Bost et al., 2021
GO:0045923	positive regulation of fatty acid metabolic process	PTGS2/IL1B	Down	C4_Granulocytes_CD177	Blood	GSE157344_Blood	Bost et al., 2021
GO:0140353	lipid export from cell	PTGS2/IL1B	Down	C4_Granulocytes_CD177	Blood	GSE157344_Blood	Bost et al., 2021
GO:0006636	unsaturated fatty acid biosynthetic process	PTGS2/IL1B	Down	C4_Granulocytes_CD177	Blood	GSE157344_Blood	Bost et al., 2021
