category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	Dataset	status
Environmental Information Processing	Signal transduction	hsa04071	Sphingolipid signaling pathway	2/4	122/8964	0.001082821682995191	0.01443250731630388	0.010938321334461888	FCER1G/CTSD	2	C8_Granulocytes_CCL4	GSE157344_Blood	Up
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	3/7	216/8964	4.495919918624262e-4	0.011741813605816949	0.007062745026055306	CXCL8/ICAM1/SOD2	3	C9_Granulocytes_Immature_LTF	GSE157344_Blood	Down
Environmental Information Processing	Signal transduction	hsa04071	Sphingolipid signaling pathway	3/10	122/8964	2.7527760049825224e-4	0.025050261645340955	0.021732442144598862	PPP2R2B/PLCB1/FYN	3	C16_Glial_Microglia_APBB1IP	GSE159812	Up
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	3/10	216/8964	0.0014609296313715318	0.004220463379517758	0.00205042755280215	CCL3L1/CCL5/CCL3	3	C2_CD4_Tfh-like_CD200	GSE162086	Down
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	2/8	216/8964	0.0147056844175602	0.023896737178535327	0.009674792379973818	CCL3/CCL5	2	C6_CD4_Cytotoxic|Th1_XCL1	GSE162086	Down
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	2/5	216/8964	0.005508969116720576	0.0075748325354907916	0.0014497287149264676	CCL3L1/CCL3	2	C5_CD4_Cytotoxic|Th1_CCL4	GSE162086	Down
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	3/65	51/8964	0.005914056719081938	0.032287552898771665	0.025742551295008156	APOE/APOC1/TSPO	3	C5_Treg_CTLA4	GSE163005	Up
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	2/3	216/8964	0.0017064322069265776	0.00981198518982782	0.0040415499637734735	HSP90AA1/HSPA1A	2	C6_PV interneuron_NXPH1	GSE164485	Down
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	2/4	216/8964	0.0033586401491104445	0.019312180857385057	0.00972237937900392	HSPA1A/HSP90AA1	2	C11_Glial_OPC_PCDH15	GSE164485	Down
Environmental Information Processing	Signal transduction	hsa04071	Sphingolipid signaling pathway	1/2	122/8964	0.02703625689488587	0.04495857111160456	0.0031549874464283905	FYN	1	C14_CD8_CMTM7	GSE164485	Down
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	15/309	157/8964	3.282404612949517e-4	0.00552538109846502	0.005086767382641065	COX6C/COX7C/NDUFA4/UQCRQ/NDUFAB1/COX5A/UQCRH/XBP1/NDUFB2/COX4I1/NDUFA5/UQCRB/COX7A2/COX6A1/PIK3R1	15	C1_Sec_Secretory diff_IFITM3	GSE164547	Down
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	19/235	216/8964	3.622421840793961e-6	5.305782578574684e-5	4.0373741878818145e-5	SOD2/IL1B/NFKBIA/LYN/NCF2/IRF7/TLR4/CD14/LY96/CASP1/TLR2/HSPA6/NCF4/TNFRSF1A/NFE2L2/CYBB/MYD88/TNFSF10/TANK	19	C1_Sec_Secretory diff_IFITM3	GSE164547	Up
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	5/62	216/8964	0.016503771288240997	0.04601975975791974	0.02620624800709839	IL1B/CXCL8/NCF2/SOD2/LYN	5	C10_Basal_Suprabasal_SERPINB4	GSE164547	Up
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	6/76	216/8964	0.00983256125715894	0.04124213193975	0.028750179114499827	CXCL8/IL1B/IRF7/NCF2/SOD2/NFKBIA	6	C6_Ciliated_Ciliated diff_NEAT1	GSE164547	Up
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	2/6	216/8964	0.008132675281157263	0.034748703474035574	0.022569146713259394	IL1B/CCL3	2	C6_CD14 Monocytes_LYZ	GSE165080	Up
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	2/5	216/8964	0.005508969116720576	0.024039137963871603	0.014233700110187134	IL1B/CCL3	2	C7_CD16 Monocytes_CDKN1C	GSE165080	Up
