ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	Dataset	status	TermID_revigo	Description_revigo
GO:0010885	regulation of cholesterol storage	3/226	19/18870	0.0014256219347399002	0.01329864798761889	0.009916976933479206	MSR1/TREM2/PPARG	3	C2_Epithelial_CAPS	GSE145926	Down	GO:0010885	regulation of cholesterol storage
GO:0140353	lipid export from cell	4/226	47/18870	0.002387425755526512	0.0199833988239611	0.014901883663229497	RETN/INHBA/TSPO/DAB2	4	C2_Epithelial_CAPS	GSE145926	Down	GO:0030301	cholesterol transport
GO:0032368	regulation of lipid transport	7/226	153/18870	0.0024937469386168516	0.02059502471705704	0.015357981146176487	APOE/APOC1/RETN/TREM2/TSPO/PPARG/DAB2	7	C2_Epithelial_CAPS	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0032374	regulation of cholesterol transport	5/226	80/18870	0.0027349669205420342	0.022173278934342094	0.01653490609994275	APOE/APOC1/TREM2/TSPO/PPARG	5	C2_Epithelial_CAPS	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0015908	fatty acid transport	6/226	116/18870	0.002744415608818414	0.02219178887861783	0.016548709209145532	FABP4/APOE/PPARG/FABP5/PLIN2/SLCO2B1	6	C2_Epithelial_CAPS	GSE145926	Down	GO:0030301	cholesterol transport
GO:0019216	regulation of lipid metabolic process	11/226	342/18870	0.0028710432047941723	0.02274071817198862	0.016958053012029656	APOE/APOC1/TREM2/CD74/TSPO/PPARG/PSAP/FABP5/NPC2/ASAH1/DAB2	11	C2_Epithelial_CAPS	GSE145926	Down	GO:0019216	regulation of lipid metabolic process
GO:0032370	positive regulation of lipid transport	5/226	86/18870	0.0037400809141361654	0.02804607891302592	0.02091433038260418	APOE/RETN/TREM2/PPARG/DAB2	5	C2_Epithelial_CAPS	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0010883	regulation of lipid storage	4/226	54/18870	0.003966368132217378	0.02959961953127041	0.02207282608011396	MSR1/TREM2/PPARG/PLIN2	4	C2_Epithelial_CAPS	GSE145926	Down	GO:0010883	regulation of lipid storage
GO:0010875	positive regulation of cholesterol efflux	3/226	27/18870	0.004010635249402734	0.0298580225177891	0.022265520590054655	APOE/TREM2/PPARG	3	C2_Epithelial_CAPS	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0055088	lipid homeostasis	7/226	175/18870	0.0052194772585517	0.03648921234703074	0.027210486171468293	FABP4/APOE/TREM2/TSPO/PPARG/NPC2/LIPA	7	C2_Epithelial_CAPS	GSE145926	Down	GO:0042632	cholesterol homeostasis
