gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
MRPL40	0.7348831387644694	-0.38996927235615597	0.191	0.194	1	C11_pDC_LILRA4
RAB1B	0.7350055549154189	-0.3058577480047572	0.279	0.284	1	C11_pDC_LILRA4
CIAO2B	0.7364722771099768	-0.4521456297302543	0.426	0.385	1	C11_pDC_LILRA4
TRAPPC2L	0.7365146152881838	-0.4638381571564041	0.235	0.23	1	C11_pDC_LILRA4
OSBPL9	0.7386152818642227	-0.363147117767257	0.235	0.2	1	C11_pDC_LILRA4
TMPO	0.7398351088425161	-0.4785635434161214	0.235	0.2	1	C11_pDC_LILRA4
ARF3	0.7403300060869199	-0.47718532173442596	0.309	0.293	1	C11_pDC_LILRA4
MRPS12	0.7410690428277116	-0.4074542274352548	0.324	0.269	1	C11_pDC_LILRA4
SDHAF3	0.7411405588933138	-0.3493821381092068	0.206	0.197	1	C11_pDC_LILRA4
ARL8A	0.7463998138819881	-0.2898111840764347	0.162	0.131	1	C11_pDC_LILRA4
COA5	0.7490812870909214	0.3904636772884149	0.176	0.161	1	C11_pDC_LILRA4
GADD45GIP1	0.7497955354828586	-0.43654236565368	0.382	0.299	1	C11_pDC_LILRA4
BST2	0.750320755083375	-0.41175954836880946	0.485	0.457	1	C11_pDC_LILRA4
ZNF32	0.7525096949053592	-0.2876009219510743	0.103	0.11	1	C11_pDC_LILRA4
DAXX	0.753212380261354	-0.31135612848677574	0.147	0.149	1	C11_pDC_LILRA4
SH3BGRL	0.7553199003195035	-0.3946723768166378	0.441	0.421	1	C11_pDC_LILRA4
IL3RA	0.7563399707132349	-0.26740552771341797	0.529	0.487	1	C11_pDC_LILRA4
SMIM12	0.7585315739889903	-0.26805033100412673	0.147	0.122	1	C11_pDC_LILRA4
LGALS9	0.7588250054590172	-0.3771544663278572	0.221	0.182	1	C11_pDC_LILRA4
TSC22D4	0.7636519084794282	-0.40493803733406086	0.353	0.29	1	C11_pDC_LILRA4
DERL1	0.7652554419463165	-0.37058644739656027	0.162	0.164	1	C11_pDC_LILRA4
MRPS16	0.7670767842731134	-0.26640952324079953	0.235	0.242	1	C11_pDC_LILRA4
LAMTOR2	0.767305516575006	-0.5622837682609743	0.294	0.284	1	C11_pDC_LILRA4
TGFB1	0.7674478076104826	-0.3646083521988053	0.559	0.448	1	C11_pDC_LILRA4
PHF11	0.7689184364427496	-0.2633694459670298	0.235	0.206	1	C11_pDC_LILRA4
RTF2	0.7689328977768265	-0.276977591536015	0.353	0.31	1	C11_pDC_LILRA4
UQCRC1	0.7730554478079046	-0.37773457351842205	0.265	0.245	1	C11_pDC_LILRA4
GLIPR1	0.7738364279357173	-0.4338774961892362	0.559	0.501	1	C11_pDC_LILRA4
CSK	0.7741137699143039	-0.4331291493321079	0.382	0.346	1	C11_pDC_LILRA4
TXNDC12	0.7756190541380827	-0.3281284698342061	0.235	0.227	1	C11_pDC_LILRA4
REX1BD	0.7773160764785686	-0.2999984102639515	0.265	0.257	1	C11_pDC_LILRA4
STXBP2	0.7774041933262551	-0.6536394926391463	0.412	0.355	1	C11_pDC_LILRA4
SUMO3	0.7779159951167409	-0.39808291402508145	0.441	0.415	1	C11_pDC_LILRA4
MRPL21	0.7779996471007848	-0.3027862483915598	0.191	0.188	1	C11_pDC_LILRA4
NCBP2AS2	0.7799094086139663	-0.49779065183166515	0.324	0.301	1	C11_pDC_LILRA4
RMDN1	0.7799609466520954	-0.2501112611773602	0.162	0.146	1	C11_pDC_LILRA4
METTL21A	0.7801325213179127	-0.31038601742961613	0.103	0.107	1	C11_pDC_LILRA4
ST6GALNAC4	0.7847932740606899	-0.4134621640666293	0.353	0.322	1	C11_pDC_LILRA4
TOR3A	0.7862351713819001	-0.3043199422985044	0.162	0.167	1	C11_pDC_LILRA4
ELOVL1	0.7863947241066129	-0.35371276957672293	0.162	0.155	1	C11_pDC_LILRA4
NFIC	0.7886294390024656	-0.30667275668993244	0.118	0.101	1	C11_pDC_LILRA4
HSPE1	0.7930792404406586	-0.3058799876101145	0.412	0.358	1	C11_pDC_LILRA4
XAF1	0.7936061222783317	-0.29828680115001405	0.118	0.101	1	C11_pDC_LILRA4
VTI1B	0.795639434259962	-0.2598762552279043	0.235	0.209	1	C11_pDC_LILRA4
TECR	0.7976790683767933	-0.31981816755208203	0.309	0.293	1	C11_pDC_LILRA4
FBL	0.7981843554956166	-0.47551452405737216	0.456	0.409	1	C11_pDC_LILRA4
ZMAT2	0.7987926749974723	-0.5019365646216243	0.265	0.251	1	C11_pDC_LILRA4
ECHS1	0.8000944211862546	-0.37200841049443656	0.162	0.161	1	C11_pDC_LILRA4
SNAP29	0.8010594431514466	-0.4162195011676375	0.221	0.218	1	C11_pDC_LILRA4
NDUFS5	0.8012061441012963	-0.397405820097287	0.441	0.454	1	C11_pDC_LILRA4
GZMH	0.8012779262880015	-0.5866392373729893	0.132	0.134	1	C11_pDC_LILRA4
C1QBP	0.8020065002838672	-0.2807855031558454	0.426	0.361	1	C11_pDC_LILRA4
PSMA6	0.8029224210699623	-0.41776071004809134	0.456	0.412	1	C11_pDC_LILRA4
LITAF	0.803117443140426	-0.47750875075425836	0.412	0.373	1	C11_pDC_LILRA4
CYB5B	0.8032696827494379	-0.3381639008981854	0.176	0.182	1	C11_pDC_LILRA4
CCT7	0.8034197583800569	-0.440233513579496	0.382	0.331	1	C11_pDC_LILRA4
CYSTM1	0.8043253214177567	-0.2687448708611447	0.265	0.221	1	C11_pDC_LILRA4
SERPINB1	0.8069056210412339	-0.5834972850283823	0.324	0.301	1	C11_pDC_LILRA4
ITPK1	0.8069179064081555	-0.27966431960819593	0.118	0.101	1	C11_pDC_LILRA4
SNX17	0.8081748605051947	-0.49324904096912514	0.368	0.313	1	C11_pDC_LILRA4
AEBP1	0.8084609891510439	-0.3392765638622103	0.279	0.266	1	C11_pDC_LILRA4
HSD17B10	0.8085952641258976	-0.2832222312134339	0.221	0.221	1	C11_pDC_LILRA4
ANXA11	0.8103925401436682	-0.31687825075658704	0.515	0.457	1	C11_pDC_LILRA4
STOML2	0.8116678105485492	-0.2882005688452726	0.221	0.212	1	C11_pDC_LILRA4
OAS1	0.8145203340291944	-0.43098640376046027	0.25	0.212	1	C11_pDC_LILRA4
PDCD2	0.81472967776964	-0.4100318107230254	0.324	0.284	1	C11_pDC_LILRA4
WDR1	0.8152197880029588	-0.26299732554739097	0.471	0.436	1	C11_pDC_LILRA4
SCT	0.8152458800877864	-0.3979478029327992	0.588	0.499	1	C11_pDC_LILRA4
MZT1	0.8177880973622279	-0.3505038381327463	0.118	0.119	1	C11_pDC_LILRA4
MTRF1L	0.8178507869110165	-0.2963722069813527	0.147	0.122	1	C11_pDC_LILRA4
UQCRFS1	0.8203294490653468	-0.5490019921834703	0.353	0.334	1	C11_pDC_LILRA4
TOMM22	0.8233305028785243	-0.48651443144629014	0.353	0.325	1	C11_pDC_LILRA4
ALG5	0.8236061382642068	-0.2861491363703914	0.162	0.161	1	C11_pDC_LILRA4
HADHA	0.824190690514015	-0.366537895863986	0.456	0.391	1	C11_pDC_LILRA4
RHOF	0.8243069409184496	-0.47522610487794736	0.324	0.301	1	C11_pDC_LILRA4
TMED9	0.8244334600320262	-0.4181721052853933	0.471	0.412	1	C11_pDC_LILRA4
ANP32B	0.826020504679899	-0.42690294014116037	0.5	0.463	1	C11_pDC_LILRA4
TGOLN2	0.8261208360497752	-0.3385279477637899	0.353	0.307	1	C11_pDC_LILRA4
LEPROTL1	0.8272302480935884	-0.5209514945095567	0.294	0.248	1	C11_pDC_LILRA4
MRPL52	0.8280252355110407	-0.2846321120025559	0.324	0.284	1	C11_pDC_LILRA4
MYCBP	0.8289512113834788	-0.2845176231019839	0.294	0.263	1	C11_pDC_LILRA4
JTB	0.8294615367958503	-0.3604750952015203	0.485	0.46	1	C11_pDC_LILRA4
PIH1D1	0.8298629544283183	-0.32978673388924123	0.176	0.17	1	C11_pDC_LILRA4
TCEA1	0.8323682740709922	-0.2929914464105128	0.485	0.415	1	C11_pDC_LILRA4
CCDC115	0.8327446463574835	-0.285054939458956	0.176	0.179	1	C11_pDC_LILRA4
DGUOK	0.8329460255836976	-0.3622722002623311	0.338	0.284	1	C11_pDC_LILRA4
CORO1B	0.8336111406863307	-0.43224314510720285	0.279	0.254	1	C11_pDC_LILRA4
SLC25A3	0.8341163436103504	-0.3615509749641541	0.618	0.519	1	C11_pDC_LILRA4
LYPLA2	0.8344726603269159	-0.3492729443654427	0.132	0.113	1	C11_pDC_LILRA4
VMA21	0.835542827749562	-0.25647048350568746	0.309	0.275	1	C11_pDC_LILRA4
GAPT	0.8365657875086303	-0.34437372940855404	0.441	0.409	1	C11_pDC_LILRA4
NME3	0.8393632902246244	-0.3170657248638973	0.338	0.316	1	C11_pDC_LILRA4
TRAPPC3	0.8413384270646116	-0.377483092137811	0.206	0.194	1	C11_pDC_LILRA4
AURKAIP1	0.8445984163657735	-0.25910668323832164	0.382	0.346	1	C11_pDC_LILRA4
HERPUD2	0.8450799959768585	-0.435744507591759	0.147	0.128	1	C11_pDC_LILRA4
CNPY2	0.8465859589363744	-0.4073440098517088	0.25	0.215	1	C11_pDC_LILRA4
MRPS11	0.8467162662328822	-0.2700731611640689	0.162	0.155	1	C11_pDC_LILRA4
ERLEC1	0.8479831380544882	-0.27070188534996525	0.206	0.2	1	C11_pDC_LILRA4
